A610	arp, arvie, arab, arb, arave, arvay, arbo, arvayo, arif, arabie, arabia, arview, arva
A612	arbogast, arbuckle, arvizu, auerbach, arviso, arvizo, arbaugh, arbizo, aravjo, arps, arbogust, arvesen, arribas, arbucci, arvez, arabajian
A613	arvidson, arbeiter, arbuthnot, arbetman
A614	arevalo, arboleda, arebalo, arvelo, arevalos, arballo, arflack, arebela, arbolida
A615	arvin, arpin, arvan, arabian, arfman, arpino, arvanitis, arbon
A616	arbour, arbry, arbertha
A620	ayers, arias, arce, ayres, arriaga, archie, araujo, argo, araiza, arocho, arceo, archey, arocha, araki, arch, arzu, arrigo, ariza, ayars, arras, arreaga, arico, arroyos, ares, arakawa
A621	archibald, arispe, archibeque, archbold, archibold, argubright, argabright, arciba, arzabala, arrospide, arichabala, archiopoli, archbell, aarsvold
A622	arakaki, arechiga, arcos, argust, areizaga, arzaga, arguijo, arciga, archacki, arizaga, arcizo, arcega, aurges, arrizaga, arjes, aricas, aragus, aragaki
A623	argueta, arzate, arquette, arqueta, arostegui, arista, archut, arkadie, arquitt, aristide, argudo, argetsinger, arcudi, aarestad, argote, arcaute, arcadipane, arzt, aristizabal, argudin, archdale
A624	archuleta, arguello, arzola, arguelles, archuletta, argyle, archila, arkell, arslanian, arrezola, argall, auerswald, arslan, arrizola, arguilez, arcila, archilla, arzilli, arriazola, arizola, arguillo, arguellez, arcilla, arrisola, arquelles
A625	aragon, arsenault, arceneaux, archambault, arciniega, arcand, arreguin, arizmendi, argento, archambeault, arjona, arrowsmith, argentieri, arseneau, arcement, arrison, arkin, archambeau, arrasmith, argenbright, aracena, arrequin, argumedo, arkenberg, arguin
A626	archer, arcuri, arquero, argrave, arcoraci, arcaro, argrow, argiro, argro, arcieri, arashiro
A630	ard, arrowood, arruda, arwood, ahart, arrieta, arata, arita, aird, art, arrott, arato, arietta, ardd, arroyd, airth
A631	artibee
A632	artis, arteaga, ardis, artz, artiaga, artist, artega, artzer, arts, artiga, artus, artuso, artice, ardizone, aerts, artison, aridas, ardizzone, arties, artez, ards
A633	ardito
A634	artiles, artalejo, artale, ardolino, artola, artley, arritola, arredla, ardelean, ardaly
A635	arredondo, ardoin, arden, artman, ardon, arduini, artinger, ardinger, artmann, ardman, aredondo, ardner, artinian, ardion, ardan, aradanas, arton, arthun, ardeneaux, aardema
A636	arthur, artrip, arterburn, arter, arthurs, ardrey, arterberry, arterbury, auwaerter, ardry, auwarter, arturo, artry, ardery, arters
A640	arreola, arriola, arel, ariola, aurelio, arrollo, arraiol, airola, aurelia, ariel, areola, arlia, arollo, ariail
A642	arroliga, arhelger
A643	arledge, arlt, arlotta, arleth, arildsen, araldi
A645	arellano, arline, arrellano, arlington, arellanes, arlinghaus, arlen, arlan, arrellin, arelleano
A650	aaron, ahern, arena, arana, ahearn, aron, arney, arno, arn, arnow, aerni, arron, arnau, arnn, arriano, aronow, arnio, arne, arone, ariano, arano, aran, aharoni, arm, aharon
A651	armbruster, arambula, arrambide, aronoff, armfield, armbrust, armbrester, armbrister, aronov, arambulo, aramboles, arenburg, arneberg, arenivas, arenivar, arambuia, aharonof
A652	armstrong, arrington, armstead, armijo, ahrens, aronson, arenas, arms, arango, armes, arneson, armistead, armas, aarons, arens, aaronson, armstong, armagost, arenz, aranjo, airington, ahrns, auringer, arns, arneecher
A653	arnett, arndt, aranda, armitage, arnette, arends, arendt, aurand, arnott, arend, arant, armwood, arent, arrant, aronowitz, arnot, arrendondo, arnaud, ahrendt, arender, arrants, ahrends, armato, arand, arentz
A654	arnold, arnhold, arnall, arnell, armeli, armelin, arnoldy, armel, arenales, arnoldi, arnholt, aronhalt, arnholtz, armillei, ahrenholtz, arnaldo, armold, armlin, ahrenholz
A655	armenta, armendariz, armentrout, arnone, armand, arnwine, armond, armendarez, armando, armon, arman, armenteros, armintrout, armento, aromin, armant, armentor, armengol, armantrout, arning, arment, aramini, armen
A656	armour, armer, arner, armor, arnhart, arnerich
A660	arora, aurora, arouri
A663	arehart, airhart, arhart
B000	bowie, bui, buie, bey, bay, bowe, bee, bouie, bow, bye, boe, bahe, bou, booe, boye, bea, boyea, bae, bua, bew, buoy, ba, beu, bue, beyah
B100	babb, beebe, bobo, bove, bybee, bibb, bova, bopp, bobb, buff, bovee, bubb, bob, bibby, bibeau, bobby, bibee, boeve, bupp, buffey, biby, bebee, baba, buffa, bobe
B115	bevevino
B120	bibbs, bevis, beauvais, babich, bevacqua, babyak, boback, bobic, befus, babic, babbs, bobbs, babecki, babick, bobek, bippus, bubis, bubash, bubak, bobeck, bobak, beavis, babish, babicke, bobko
B122	babcock, babjeck
B123	babst, bobst
B125	bufkin, buffkin, bobseine, bobzien, bobson, bobsin, babson, babikian
B130	bobbitt, babbitt, bebout, bobbett, buffett, beabout, baffuto, babbit, babauta, bobbit, beaufait, babat, bobet, beebout
B132	baptiste, baptist, baptista, baptise, bapties, babitsch
B134	bobadilla
B135	bufton
B140	bible, bevill, biffle, beville, buffaloe, bevil, bevel, bovell, babel, bevelle, buffalo, boepple, bevell, babula, bable, bibel, bybel, bobola, biebel, bevly, babbel
B142	bevilacqua, bevels, bevilaqua, bibles, bevelacqua, bavelas, bubolz, boblak, bablak
B143	bublitz, byfield, boblett, boblitt, buboltz, baublitz
B145	babilonia, bibiloni, babilon
B146	bibler
B150	babin, bevan, buffum, boivin, bivona, babineau, beaubien, buban, beaven, buffin, biviano, babione, babino, bovian, babine, bievenue, buben, bobian, biven, bibian, boven, bobino, bivin, bibiano, buffone
